#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,
#### Stuff that doesn't fit into a specific category;;;;;;;;;;;;;;x,,,
#### Laws;;;;;;;;;;;;;;x,,,
#### Minor title cultural localisation;;;;;;;;;;;;;;x,,,
#### Event modifiers;;;;;;;;;;;;;;x,,,
#### Opinion modifiers;;;;;;;;;;;;;;x,,,
opinion_beltane;Great Beltane;Grande Beltane;;;Gran Beltane;;;;;;;x,,,
opinion_almsgiving;Almsgiving;A fait l'aumône;;;;;;;;;;;;x,,,
opinion_cuelebre;Hosted Midsummer celebration;Midsummer hébergé;;;Celebrado un Midsummer;;;;;;;;;x,,,
opinion_refused_cuelebre;Refused Midsummer Invitation;Invitation à Midsummer refusée;;;Midsummer Rechazado;;;;;;;;;x,,,
held_beltane_modifier;Held Beltane;A tenu une Beltane;;;Beltane Celebrado;;;;;;;x,,,
hold_beltane;Hold Beltane;Tenir une Beltane;;;Celebrar un Beltane;;;;;;;x,,,
hold_beltane_DESC;Celebrate the coming of summer with a Beltane Festival.;Célébrer la venue de l'été avec un festival de Beltane.;;;Celebra la llegada del verano con un Festival de Beltane.;;;;;;;x,,,
hold_lughnasadh;Hold Lughnasadh;Tenir une Lugnasad;;;Celebrar un Lughnasadh;;;;;;;x,,,
hold_lughnasadh_DESC;Prepare the ceremonial hunt in the name of Lugh to commemorate the beginning of the harvest season.;Préparer la chasse cérémonie au nom de Lugh pour commémorer le début de la saison des récoltes.;;;Prepare la caza ceremonial en nombre de Lugh para conmemorar el comienzo de la temporada de cosecha.;;;;;;;x,,,
holding_samhain;Holding Samhain;Tenue d'une Samain;;;Celebrar el Samhain;;;;;;;x,,,
held_samhain;Held Samhain;A tenu une Samain;;;Samhain celebrado;;;;;;;x,,,
hold_samhain;Hold Samhain;Tenir une Samain;;;Celebrado el Samhain;;;;;;;x,,,
hold_samhain_DESC;Hold the holy festival commemorating the start of winter, and Lugh's death to the God of Misrule.;Tenir la sainte fête commémorant le début de l'hiver, et la mort de Lugh pour le Dieu de l'Anarchie.;;;Celebra la fiesta santa que conmemora el comienzo del invierno y la muerte de Lugh al Dios del Desgobierno.;;;;;;;x,
rainmaker;Rainmaker;Faiseur de pluie;;;Generador de Lluvia;;;;;;;x,,,
rainmaker_DESC;You brought rain to your troubled people.;Vous avez apporté la pluie à votre peuple en difficulté.;;;Usted trajo la lluvia a su gente con problemas.;;;;;;;x,,,
prepare_beltane;Prepare the holy celebration of summer.;Préparer la célébration sainte de l'été.;;;Prepara la santa celebración del verano.;;;;;;;x,,,
insular_monastery;Insular Monastery;Monastère insulaire;;;Monasterio Insular;;;;;;;;;x,,,
insular_monastery_desc;A flourishing Insular Monastery is present in this province.;Un monastère insulaire florissant est présent dans cette province.;;;Un floreciente monasterio insular está presente en esta provincia.;;;;;;;;;x,,,
pelagian_monastery;Pelagian Monastery;Monastère pélagien;;;Monasterio Pelagico;;;;;;;;;x,,,
pelagian_monastery_desc;A flourishing Pelagian Monastery is present in this province.;Un monastère pélagien florissant est présent dans cette province.;;;Un floreciente Monasterio Pelagico está presente en esta provincia.;;;;;;;;;x,,,
pictish_broch;Pictish Broch;Broch picte;;;Broch Picto;;;;;;;;;x,,,
pictish_broch_desc;The Pictish Brochs were large stone towers intended for defense and local rulership. Though building of Brochs ended in the 200s, they continued to be maintained by the Picts for centuries to come.;Les brochs pictes étaient des larges tours en pierre conçus pour la défendre et consolider le contrôle des dirigeants régionaux. Bien que la construction des brochs s'arrêta au IIIe siècle, ils furent entretenus par les pictes durant les siècles ultérieurs.;;;Los Pictish Brochs eran grandes torres de piedra destinadas a la defensa y al gobierno local. Aunque la construcción de Brochs terminó en los años 200, continuaron siendo mantenidos por los pictos durante los siglos venideros.;;x 
lost_synod;Lost in Synod;A perdu le synode;;;Perdido en el Sínodo;;;;;;;;;x,,,
won_synod;Victorious in Synod;A gagné le synode;;;Victorioso en el Sínodo;;;;;;;;;x,,,
