#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x,,,,,,,,,
###### Realm decisions;;;;;;;;;;;;x,,,,,,,,,
###### Religious decisions;;;;;;;;;;;;x,,,,,,,,,
celtic_vassal_sacrifice_decision;Sacrifice [Root.GetTitledFirstName];Sacrifier [Root.GetTitledFirstName];;;Sacrificar [Root.GetTitledFirstName];;;;;;;x,,,,,,,,,
celtic_vassal_sacrifice_decision_desc;As he is your prisoner, you may give the order to sacrifice [Root.GetTitledFirstName] to the ancient gods.;Puisqu'il est votre prisonnier, vous pouvez donner l'ordre de sacrifier [Root.GetTitledFirstName] aux anciens dieux.;;;Como él es tu prisionero, puedes dar la orden de sacrificar [Root.GetTitledFirstName] a los dioses antiguos.;;;;;;;x,,,,,,
peregrinatio;Peregrinatio Pro Christo;Peregrinatio Pro Christo;;;Peregrinatio Pro Christo;;x ,,,,,,,,,
peregrinatio_desc;To abdicate the throne and dedicate your life to wandering the land for Christ would be an incredibly pious act, and is looked upon favorable by the Insular Rite.;Abdiquer et dédier votre vie à errer à travers les terres pour le Christ serait un acte très pieux, et considéré comme favorable au sein du rite insulaire.;;;Abdicar el trono y dedicar tu vida a vagar por la tierra para Cristo sería un acto increíblemente piadoso, y el Rito Insular lo considera favorable.;;;;;;;x,,,,,,
create_bishop_of_iona;Create the Bishopric of Iona;Créer l'évêché d'Iona;;;Crear el obispado de Iona;;x ,,,,,,,,,
create_bishop_of_iona_desc;With the victory in the Synod of Whitby, it is now nescessary for the Insular faith to reorganize itself independent of the Roman Church. To accomplish this, it has been proposed to rise the Bishop of the holy site of Iona to prominence, granting him control over all Insular realms.;Avec la victoire dans le synode de Whitby, il est maintenant nécessaire pour la foi insulaire de se réorganiser pour pouvoir devenir indépendante de l’Église romaine. Pour accomplir ceci, une proposition est de faire monter en puissance l’évêque du lieu saint d’Iona, lui accordant le contrôle de tous les royaumes insulaires.;;;Con la victoria en el Sínodo de Whitby, ahora es necesario que la fe insular se reorganice independientemente de la Iglesia romana. Para lograr esto, se ha propuesto elevar al Obispo del lugar sagrado de Iona a la prominencia, otorgándole el control sobre todos los reinos insulares.;;;;;;;x
create_pelagian_bishop;Organize the Pelagian Church;Organiser l'Église pélagienne;;;Organizar la iglesia Pelágica;;;;;;;x,,,,,,,,,
create_pelagian_bishop_desc;With the growing strength of the Pelagian faith, it is necessary to begin to organize the faith to better defend it against the enemies of the church.;Avec la montée en puissance de la foi pélagienne, il est nécessaire de commencer à organiser la foi pour mieux la défendre contre les ennemis de l'église.;;;Con la creciente fuerza de la fe pelagiana, es necesario comenzar a organizar la fe para defenderla mejor contra los enemigos de la iglesia.;;;;;;;x,,,,,,
call_synod_of_whitby;Call Synod of Whitby;Appel au synode de Whitby;;;La llamada del Sínodo de Whitby;;;;;;;x,,,,,,,,,
call_synod_of_whitby_desc;Call a great Synod of Insular and Roman bishops to settle differences between the Celtic and Roman rites.;Appeler à un grand synode des évêques insulaires et romains pour régler les différends entre les rites celtiques et romains.;;;Convoca a un gran sínodo de obispos insulares y romanos para resolver las diferencias entre los ritos celtas y romanos.;;;;;;;x,,,,,,,,,
give_alms;Give alms;Faire l'aumône;;;;;;;;;;x,,,,,,,,,
give_alms_desc;As a Pelagian ruler you can show your choice of good conduct through your free will by giving alms. This is viewed as a pious act.;En tant que dirigeant pélagien, vous pouvez montrer votre choix de bonne conduite par votre libre arbitre en faisant l'aumône. Ceci est considéré comme un acte pieux.;;;;;;;;;;x,,,,,,,,
tooltip_expel_invaders;The invaders will be expelled;;;;;;;;;;;x,,,,,,,,,
